Country;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source;;
Netherlands;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;339;5307832;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;11;516349;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;112;3582881;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;24;38481184;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;6;827747315;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;11;54214427;CTS
Monaco;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;385;86122;CTS
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;3;227247902;CTS
Malta;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;65;78620724;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;13;42744771;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;13;13168895;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;7;689727766;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;157;4323881;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;1;833704313;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;203;2284288;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;20;32284288;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;2;903263268;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;5;806526536;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;38;26370538;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;28;43449666;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;13;99784635;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;108;2529371;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;1;799096239;CTS
Italy;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;89;42952906;CTS
Italy;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;6;443661338;CTS
Italy;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;79;83824098;CTS
Italy;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;265753574;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;301;9863085;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;43;17258364;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;10;7853123;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;64;48781471;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;1;823499537;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;17;51963229;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;12;2327706;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;123;7235999;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;7;632620992;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;2;63977954;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;31;90475122;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;18784948;CTS
Greece;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;67;69919661;CTS
Greece;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;5;571877081;CTS
Greece;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;2;136182906;CTS
Greece;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;20;81888258;CTS
Greece;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;213618291;CTS
Germany;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;581;2559646;CTS
Germany;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;70;18796672;CTS
Germany;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;10;81614376;CTS
Germany;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;73;15931365;CTS
Germany;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;2;241370521;CTS
France;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;226;8263405;CTS
France;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;43;22714083;CTS
France;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;17;30864935;CTS
France;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;197;1087109;CTS
France;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;3;530595427;CTS
Finland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;568;1229642;CTS
Finland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;33;66923081;CTS
Finland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;11;35025061;CTS
Finland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;38;47639577;CTS
Finland;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;38152103;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;38;57521066;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;8;87376519;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;119;6858247;CTS
Estonia;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;73336902;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;203;6924132;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;10;40210234;CTS
Denmark;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;55;3236368;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;230;2761752;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;18;64359041;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;6;709348672;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;59;64191024;CTS
Czechia;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;146492329;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;26;3009204;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;11;632666;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;3;76379173;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;36;99921325;CTS
Croatia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;319352026;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;47;91707286;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;15;17180291;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;6;830539354;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;53;34018539;CTS
Bulgaria;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;2;479137157;CTS
Belgium;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;618;4186094;CTS
Belgium;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;28;9128676;CTS
Belgium;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;10;1716412;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;20;485351;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;8;5895788;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;4;13880957;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;111;1824228;CTS
Belarus;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;353554281;CTS
Austria;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2004;Rate per 100;000 population;43;61790038;CTS
Austria;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2004;Rate per 100;000 population;24;38902689;CTS
Austria;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2004;Rate per 100;000 population;8;360908917;CTS
Austria;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2004;Rate per 100;000 population;58;39249052;CTS
Austria;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2004;Rate per 100;000 population;0;36510519;CTS
Ukraine;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;13;86904315;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;4;535760708;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;2;130563095;CTS/DMDB
Ukraine;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;89;37851646;CTS
Ukraine;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;499920646;CTS/DMDB
Switzerland;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;124;3235249;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;8;568025497;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;54;81390959;CTS
Switzerland;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;3;673926426;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;846;7190037;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;133;5397206;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;94;36938843;CTS
Sweden;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;40;70944145;CTS
Spain;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;404;58432;CTS
Spain;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;4;699458138;CTS
Spain;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;498562876;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;121;4026779;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;14;28266798;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;2;74666692;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;26;21818423;CTS
Slovenia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;299636391;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;59;27381427;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;5;24202795;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;3;223013651;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;29;52576874;CTS
Slovakia;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;222276804;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;18;11738205;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;4;996767409;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;1;257392236;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;41;47207611;CTS
Serbia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;251478447;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;35;86320194;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;14;58404801;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;6;186051924;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;249;1589138;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;693150221;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;44;54582753;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;5;255644732;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;19;20476632;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;1;361004774;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;9;864301935;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;9;381939983;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;6;463650168;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;3;665950842;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;434125758;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;379;3855487;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;16;39976033;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;3;234423524;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;198;3716527;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;5;273722813;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;5;217126452;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;91;72860712;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;59966971;CTS
Norway;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;68;15770473;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;46;56551507;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;17;97565839;CTS
Norway;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;29;70263553;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;21;37526828;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;7;76619431;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;2;375029809;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;22;58701818;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;1;163279906;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;420;8310039;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;43;43041653;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;14;6288728;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;88;1077848;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;5;170287683;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;26;54310098;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;6;959471598;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;1;780329944;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;12;94785414;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;0;647392707;CTS
Monaco;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;409;488432;CTS
Monaco;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;5;849834742;CTS
Monaco;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;11;69966948;CTS
Monaco;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;5;849834742;CTS
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;4;1837915;CTS
Malta;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;54;63539488;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;388;951292;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;44;2816944;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;8;590862329;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2006;Rate per 100;000 population;67;22349773;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2006;Rate per 100;000 population;3;65111649;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2006;Rate per 100;000 population;10;29264721;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2006;Rate per 100;000 population;15;77196822;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2006;Rate per 100;000 population;7;65894042;CTS
