Country,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Score,,
Russian Federation,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,77526025,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,42,64086989,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,4,416557875,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,14,30631077,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,1,260549572,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,11,3004869,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,7,125784736,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,398,3983842,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,16,24498158,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,3,227985758,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,201,423911,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,4,25941316,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,5,666732631,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,126,6577244,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,304691047,CTS
Norway,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,62,72005846,CTS
Norway,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,42,4513017,CTS
Norway,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,16,7147129,CTS
Norway,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,34,70915856,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,339,5307832,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,11,516349,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,112,3582881,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,24,38481184,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,6,827747315,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,11,54214427,CTS
Monaco,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,385,86122,CTS
Malta,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,3,227247902,CTS
Malta,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,65,78620724,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,13,42744771,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,13,13168895,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,7,689727766,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,157,4323881,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,1,833704313,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,203,2284288,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,20,32284288,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,2,903263268,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,5,806526536,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,38,26370538,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,28,43449666,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,13,99784635,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,108,2529371,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,1,799096239,CTS
Italy,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,89,42952906,CTS
Italy,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,6,443661338,CTS
Italy,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,79,83824098,CTS
Italy,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,265753574,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,301,9863085,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,43,17258364,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,10,7853123,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,64,48781471,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,1,823499537,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,17,51963229,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,12,2327706,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,123,7235999,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,7,632620992,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,2,63977954,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,31,90475122,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,18784948,CTS
Greece,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,67,69919661,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,5,571877081,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,2,136182906,CTS
Greece,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,20,81888258,CTS
Greece,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,213618291,CTS
Germany,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,581,2559646,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,70,18796672,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,10,81614376,CTS
Germany,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,73,15931365,CTS
Germany,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,2,241370521,CTS
France,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,226,8263405,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,43,22714083,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,17,30864935,CTS
France,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,197,1087109,CTS
France,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,3,530595427,CTS
Finland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,568,1229642,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,33,66923081,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,11,35025061,CTS
Finland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,38,47639577,CTS
Finland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,38152103,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,38,57521066,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,8,87376519,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,119,6858247,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,73336902,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,203,6924132,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,10,40210234,CTS
Denmark,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,55,3236368,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,230,2761752,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,18,64359041,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,6,709348672,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,59,64191024,CTS
Czechia,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,146492329,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,26,3009204,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,11,632666,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,3,76379173,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,36,99921325,CTS
Croatia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,319352026,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,47,91707286,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,15,17180291,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,6,830539354,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,53,34018539,CTS
Bulgaria,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,2,479137157,CTS
Belgium,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,618,4186094,CTS
Belgium,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,28,9128676,CTS
Belgium,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,10,1716412,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,20,485351,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,8,5895788,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,4,13880957,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,111,1824228,CTS
Belarus,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,353554281,CTS
Austria,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2004,43,61790038,CTS
Austria,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2004,24,38902689,CTS
Austria,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,8,360908917,CTS
Austria,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2004,58,39249052,CTS
Austria,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,0,36510519,CTS
Ukraine,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,13,86904315,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,4,535760708,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,2,130563095,CTS/DMDB
Ukraine,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,89,37851646,CTS
Ukraine,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,499920646,CTS/DMDB
Switzerland,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,124,3235249,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,8,568025497,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,54,81390959,CTS
Switzerland,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,3,673926426,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,846,7190037,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,133,5397206,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,94,36938843,CTS
Sweden,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,40,70944145,CTS
Spain,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,404,58432,CTS
Spain,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,4,699458138,CTS
Spain,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,498562876,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,121,4026779,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,14,28266798,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,2,74666692,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,26,21818423,CTS
Slovenia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,299636391,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,59,27381427,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,5,24202795,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,3,223013651,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,29,52576874,CTS
Slovakia,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,222276804,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,18,11738205,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,4,996767409,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,1,257392236,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,41,47207611,CTS
Serbia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,251478447,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,35,86320194,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,14,58404801,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,6,186051924,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,249,1589138,CTS
Russian Federation,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,693150221,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,44,54582753,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,5,255644732,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,19,20476632,CTS
Romania,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,1,361004774,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,9,864301935,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,9,381939983,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,6,463650168,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,3,665950842,CTS
Republic of Moldova,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,434125758,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,379,3855487,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,16,39976033,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,3,234423524,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,198,3716527,CTS
Portugal,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,5,273722813,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,5,217126452,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,91,72860712,CTS
Poland,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,59966971,CTS
Norway,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,68,15770473,CTS
Norway,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,46,56551507,CTS
Norway,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,17,97565839,CTS
Norway,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,29,70263553,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,21,37526828,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,7,76619431,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,2,375029809,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,22,58701818,CTS
North Macedonia,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,1,163279906,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,420,8310039,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,43,43041653,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,14,6288728,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,88,1077848,CTS
Netherlands,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,5,170287683,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,26,54310098,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,6,959471598,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,1,780329944,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,12,94785414,CTS
Montenegro,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,647392707,CTS
Monaco,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,409,488432,CTS
Monaco,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,5,849834742,CTS
Monaco,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,11,69966948,CTS
Monaco,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,5,849834742,CTS
Malta,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,4,1837915,CTS
Malta,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,54,63539488,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,388,951292,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,44,2816944,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,8,590862329,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,67,22349773,CTS
Luxembourg,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,3,65111649,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,10,29264721,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,15,77196822,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,7,65894042,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,131,4734318,CTS
Lithuania,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,1,816349507,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,220,1572552,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,34,31022159,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,5,718370264,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,11,43674053,CTS
Liechtenstein,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,CTS,
Latvia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,69,61600638,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,14,74115564,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,5,797588653,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,101,308472,CTS
Latvia,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,359540382,CTS
Italy,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,101,255452,CTS
Italy,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,7,70891374,CTS
Italy,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,121,5558873,CTS
Italy,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,47486772,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,324,7042572,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,33,44664221,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,8,769402303,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,58,76208659,CTS
Ireland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,1,914613441,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,18,68366881,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,93,75198097,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,24,2185989,CTS
Iceland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,16,68184715,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,114,5226016,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,6,493857139,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,2,48598117,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,26,94005971,CTS
Hungary,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,129280464,CTS
Greece,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,66,14972905,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,6,213550708,CTS
Greece,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,1,627145653,CTS
Greece,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,22,2010848,CTS
Greece,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,2503301,CTS
Germany,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,626,9313712,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,64,10895687,CTS
Germany,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,9,964130725,CTS
Germany,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,65,90711547,CTS
Germany,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,1,958949573,CTS
France,Western Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,267,2116326,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,37,17184193,CTS
France,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,15,90663495,CTS
France,Western Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,206,7830027,CTS
France,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,3,719785441,CTS
Finland,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,584,8234672,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2006,51,69123959,CTS
Finland,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,11,61537019,CTS
Finland,Northern Europe,Violent offences,by type of offence,Robbery,Total,Total,2006,32,21228273,CTS
Finland,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,0,18948402,CTS
Estonia,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2006,10,44929756,CTS
