Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2018,Counts,67,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2018,Counts,133,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,158,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2019,Counts,4,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2019,Counts,154,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2019,Counts,77,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2019,Counts,77,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2019,Counts,96,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2019,Counts,98,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2019,Counts,521,CTS
ALB,Albania,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2019,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,152,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2020,Counts,5,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2020,Counts,145,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2020,Counts,65,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2020,Counts,80,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2020,Counts,91,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2007,Counts,83,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2007,Counts,10,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2007,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2007,Counts,4,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2008,Counts,105,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2008,Counts,15,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2008,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2008,Counts,4,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2009,Counts,128,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2009,Counts,6,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2009,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2009,Counts,12,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2010,Counts,98,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2010,Counts,10,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2010,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2010,Counts,8,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2011,Counts,17,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2011,Counts,144,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2011,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2011,Counts,5,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,163,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2012,Counts,18,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,5,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2012,Counts,6,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,90,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2013,Counts,18,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2013,Counts,3,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2013,Counts,13,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,123,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2014,Counts,16,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2014,Counts,6,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2014,Counts,7,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,133,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2015,Counts,11,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2015,Counts,1,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2015,Counts,3,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2015,Counts,8,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,194,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2016,Counts,18,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2016,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2016,Counts,11,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2016,Counts,5,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2016,Counts,7,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2016,Counts,145,CTS
AND,Andorra,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2016,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,223,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2017,Counts,20,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2017,Counts,3,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2017,Counts,13,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2017,Counts,4,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2017,Counts,3,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2017,Counts,4,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2017,Counts,105,CTS
AND,Andorra,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2017,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,236,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2018,Counts,26,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2018,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2018,Counts,14,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2018,Counts,10,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2018,Counts,3,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2018,Counts,118,CTS
AND,Andorra,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2018,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,250,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence,Total,Total,2019,Counts,38,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2019,Counts,0,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2019,Counts,11,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2019,Counts,22,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual Exploitation,Total,Total,2019,Counts,5,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Robbery,Total,Total,2019,Counts,8,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Acts intended to induce fear or emotional distress,Total,Total,2019,Counts,100,CTS
AND,Andorra,Europe,Southern Europe,Offences of sexual nature,by type of offence,Child pornography,Total,Total,2019,Counts,1,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2003,Counts,44,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2003,Counts,396,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,434,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2004,Counts,52,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2004,Counts,437,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,506,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2005,Counts,717,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2005,Counts,62,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2005,Counts,429,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,862,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2006,Counts,758,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2006,Counts,72,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2006,Counts,557,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,971,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,378,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence,Total,Total,2012,Counts,207,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2012,Counts,83,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,73,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,311,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence,Total,Total,2013,Counts,353,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2013,Counts,77,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2013,Counts,719,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,94,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,316,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence,Total,Total,2014,Counts,382,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2014,Counts,78,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2014,Counts,715,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,69,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2014,Counts,311,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,320,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence,Total,Total,2015,Counts,378,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2015,Counts,86,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2015,Counts,290,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2015,Counts,826,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,82,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2015,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,348,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,73,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence,Total,Total,2016,Counts,445,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2016,Counts,312,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2016,Counts,95,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Other acts of sexual violence,Total,Total,2016,Counts,0,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Robbery,Total,Total,2016,Counts,378,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,223,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,67,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Sexual assault,Total,Total,2017,Counts,308,CTS
ARE,United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,Total,Total,2017,Counts,95,CTS
